antecedente;consecuente;items_antecedente;items_consecuente;soporte_antecedente;soporte_consecuente;soporte;confianza;lift;leverage;conviccion;App
['problema'];['funcionar'];1;1;0,08839190628328009;0,12460063897763578;0,014909478168264111;0,16867469879518074;1,3537225826382455;0,0038957901649161134;1,0530166226790758;Banco Ripley
['funcionar'];['problema'];1;1;0,12460063897763578;0,08839190628328009;0,014909478168264111;0,11965811965811966;1,3537225826382453;0,0038957901649161134;1,0355159899500606;Banco Ripley
['funcionar'];['blanco'];1;1;0,12460063897763578;0,07880724174653887;0,014909478168264111;0,11965811965811966;1,5183645183645185;0,005090045490580354;1,0464034244238345;Banco Ripley
['blanco'];['funcionar'];1;1;0,07880724174653887;0,12460063897763578;0,014909478168264111;0,1891891891891892;1,5183645183645185;0,005090045490580354;1,0796592119275827;Banco Ripley
['abrir'];['blanco', 'quedar'];1;2;0,07454739084132056;0,051118210862619806;0,014909478168264111;0,19999999999999998;3,9124999999999996;0,011098748923979353;1,186102236421725;Banco Ripley
['blanco'];['abrir', 'quedar'];1;2;0,07880724174653887;0,021299254526091587;0,014909478168264111;0,1891891891891892;8,882432432432433;0,01323094266780535;1,2070642527511537;Banco Ripley
['funcionar'];['malo'];1;1;0,12460063897763578;0,051118210862619806;0,014909478168264111;0,11965811965811966;2,340811965811966;0,008540116431388162;1,077856012903626;Banco Ripley
['quedar'];['blanco', 'abrir'];1;2;0,10223642172523961;0,025559105431309903;0,014909478168264111;0,14583333333333334;5,705729166666667;0,01229640668646885;1,1408088521779787;Banco Ripley
['lento'];['banco'];1;1;0,05644302449414271;0,0979765708200213;0,013844515441959531;0,24528301886792453;2,5034864643150123;0,008314421455312962;1,1951810436634718;Banco Ripley
['tarjeta'];['problema'];1;1;0,09158679446219382;0,08839190628328009;0,013844515441959531;0,1511627906976744;1,7101428971700756;0,0057489840890712594;1,0739492610909305;Banco Ripley
['lento'];['aplicación'];1;1;0,05644302449414271;0,14909478168264112;0,013844515441959531;0,24528301886792453;1,6451482479784365;0,00542915502749736;1,1274494142705005;Banco Ripley
['aplicación'];['lento'];1;1;0,14909478168264112;0,05644302449414271;0,013844515441959531;0,09285714285714285;1,6451482479784365;0,00542915502749736;1,0401415478017324;Banco Ripley
['malo'];['aplicación'];1;1;0,051118210862619806;0,14909478168264112;0,013844515441959531;0,27083333333333337;1,8165178571428573;0,006223056953390017;1,1669557279780922;Banco Ripley
['aplicación'];['malo'];1;1;0,14909478168264112;0,051118210862619806;0,013844515441959531;0,09285714285714285;1,816517857142857;0,006223056953390017;1,0460114210963247;Banco Ripley
['pagar'];['banco'];1;1;0,09904153354632587;0,0979765708200213;0,013844515441959531;0,13978494623655915;1,42671809256662;0,004140765616334419;1,0486022364217251;Banco Ripley
['pésimo'];['aplicación'];1;1;0,039403620873269436;0,14909478168264112;0,013844515441959531;0,35135135135135137;2,3565637065637066;0,007969641190353864;1,311812211572595;Banco Ripley
['aplicación'];['pésimo'];1;1;0,14909478168264112;0,039403620873269436;0,013844515441959531;0,09285714285714285;2,356563706563706;0,007969641190353864;1,0589251423444275;Banco Ripley
['banco'];['pagar'];1;1;0,0979765708200213;0,09904153354632587;0,013844515441959531;0,14130434782608695;1,4267180925666199;0,004140765616334419;1,0492174546042787;Banco Ripley
['malo'];['banco'];1;1;0,051118210862619806;0,0979765708200213;0,013844515441959531;0,27083333333333337;2,7642663043478266;0,008836128435185279;1,2370607028753995;Banco Ripley
['banco'];['malo'];1;1;0,0979765708200213;0,051118210862619806;0,013844515441959531;0,14130434782608695;2,764266304347826;0,008836128435185279;1,1050268936789744;Banco Ripley
['banco'];['lento'];1;1;0,0979765708200213;0,05644302449414271;0,013844515441959531;0,14130434782608695;2,503486464315012;0,008314421455312962;1,098825844892897;Banco Ripley
['app'];['abrir'];1;1;0,14696485623003194;0,07454739084132056;0,013844515441959531;0,09420289855072464;1,2636645962732918;0,002888668864640856;1,021699680511182;Banco Ripley
['transferir'];['aplicación'];1;1;0,06389776357827476;0,14909478168264112;0,013844515441959531;0,21666666666666667;1,4532142857142856;0,004317692331247638;1,0862619808306708;Banco Ripley
['aplicación'];['transferir'];1;1;0,14909478168264112;0,06389776357827476;0,013844515441959531;0,09285714285714285;1,4532142857142856;0,004317692331247638;1,0319237251893034;Banco Ripley
['funcionar'];['banco'];1;1;0,12460063897763578;0,0979765708200213;0,013844515441959531;0,11111111111111112;1,134057971014493;0,0016365721129472932;1,014776357827476;Banco Ripley
['banco'];['funcionar'];1;1;0,0979765708200213;0,12460063897763578;0,013844515441959531;0,14130434782608695;1,1340579710144927;0,0016365721129472932;1,0194524204311077;Banco Ripley
['cerrar'];['app'];1;1;0,03727369542066028;0,14696485623003194;0,013844515441959531;0,3714285714285714;2,5273291925465835;0,008366592153300195;1,3571013650885855;Banco Ripley
['app'];['cerrar'];1;1;0,14696485623003194;0,03727369542066028;0,013844515441959531;0,09420289855072464;2,5273291925465835;0,008366592153300195;1,062849840255591;Banco Ripley
